КРКА-Рус ООО; КРКА Рус
Аспен Фарма Трейдинг Лимитед/пр.Ресифарм Карлскога АБ; ['Аспен Фарма Трейдинг Лимитед', 'Ресифарм Карлскога АБ']
Атолл ООО/пр.Озон Фарм ООО; ['Атолл', 'Озон Фарм']
Шварц Фарма АГ/пр.Шварц Фарма Продукционс ГмбХ; ['Шварц Фарма АГ', 'Шварц Фарма Продукционс ГмбХ']
Вертекс АО/ЗАО; ['Вертекс', '']
Иннотера Шузи; Иннотера Шузи
АЛСИ Фарма ЗАО/АО; ['АЛСИ Фарма', '']
Гуидотти С.п.А./пр.Лабораториос Менарини С.А./пр.Файн Фудс & Фармасьютикалз Н.Т.М. С.П.А.; ['Гуидотти С.п.А.', 'Лабораториос Менарини С.А.', 'Файн Фудс & Фармасьютикалз Н.Т.М. С.П.А.']
Авентис Фарма Дойчланд ГмбХ/пр.Санофи-Авентис С.п.А.; ['Авентис Фарма Дойчланд ГмбХ', 'Санофи-Авентис С.п.А.']
Польфарма Фармацевтический завод С.А.; Польфарма Фармацевтический завод С А
Сердикс ООО/Сервье Рус ООО; ['Сердикс', 'Сервье Рус']
Промомед Рус ООО/пр.Биохимик ПАО/ОАО/АО; ['Промомед Рус', 'Биохимик', '', '']
Лаборатории Сервье/пр.Сердикс ООО; ['Лаборатории Сервье', 'Сердикс']
Тева Фармацевтические Предприятия Лтд/пр.Блюфарма-Индустрия Фармацеутика С.А.; ['Тева Фармацевтические Предприятия Лтд', 'Блюфарма-Индустрия Фармацеутика С.А.']
Пик-Фарма Лек ООО; Пик Фарма Лек
АстраЗенека АБ/уп.АстраЗенека Индастриз ООО; ['АстраЗенека АБ', '.АстраЗенека Индастриз']
Тева Фармацевтические Предприятия Лтд/пр.Клоке Фарма-Сервис ГмбХ/Вып.к.-Меркле ГмбХ; ['Тева Фармацевтические Предприятия Лтд', 'Клоке Фарма-Сервис ГмбХ', 'Вып.к.-Меркле ГмбХ']
Ксантис Фарма Лимитед/Алси Фарма ЗАО; ['Ксантис Фарма Лимитед', 'Алси Фарма']
Гриндекс АО/пр.Эйч Би Эм Фарма с.р.о.; ['Гриндекс', 'Эйч Би Эм Фарма с.р.о.']
Сервье Рус ООО/Фармстандарт-Лексредства ОАО; ['Сервье Рус', 'Фармстандарт-Лексредства']
Акрихин ХФК АО/ОАО; ['Акрихин ХФК', '']
Ай Си Эн Польфа Жешув АО; Ай Си Эн Польфа Жешув
Медисорб ЗАО; Медисорб
Эмкюр Фармасьютикалз Лтд; Эмкюр Фармасьютикалз Лтд
Гриндекс АО; Гриндекс
Верваг Фарма ГмбХ и Ко.КГ/пр.Мауерманн-Арцнаймиттель Франц Мауерманн ОХГ/Артезан Фарма/С.К.Магистра К. и КС.Р.Л; ['Верваг Фарма ГмбХ и Ко.КГ', 'Мауерманн-Арцнаймиттель Франц Мауерманн ОХГ', 'Артезан Фарма', 'С.К.Магистра К. и КС.Р.Л']
Салютас Фарма ГмбХ; Салютас Фарма ГмбХ
Бофур Ипсен Фарма/пр.Бофур Ипсен Индастри; ['Бофур Ипсен Фарма', 'Бофур Ипсен Индастри']
Окамото Индастриз Инк; Окамото Индастриз Инк
Канонфарма Продакшн ЗАО/Завод имени академика В.П. Филатова; ['Канонфарма Продакшн', 'Завод имени академика В.П. Филатова']
Новартис Фарма Штейн АГ; Новартис Фарма Штейн АГ
Ипсен Консьюмер Хелскеа/пр.Бофур Ипсен Индастри; ['Ипсен Консьюмер Хелскеа', 'Бофур Ипсен Индастри']
Фамар Хелс Кеа Сервисез Мадрид С.А.У.; Фамар Хелс Кеа Сервисез Мадрид С А У
Верваг Фарма ГмбХ/пр.Артезан Фарма ГмбХ; ['Верваг Фарма ГмбХ', 'Артезан Фарма ГмбХ']
Фермент Фирма ООО; Фермент Фирма
Афарм С.р.Л.; Афарм С р Л
Рекитт Бенкизер Хелскэр Интернешнл Лтд/пр.Патеон Софтджелс Б.В./уп.Баннер Фармакапс Европа Б.В.; ['Рекитт Бенкизер Хелскэр Интернешнл Лтд', 'Патеон Софтджелс Б.В.', '.Баннер Фармакапс Европа Б.В.']
Люми ООО (г.Екатеринбург); Люми  г Екатеринбург
